Название конфигурации							
6541_Управление нашей фирмой (демо)							
							
Требование							
Объект.Путь							
Ошибка					Уточнение	Место обнаружения	НОМЕР
1С:Совместимо (1С:Предприятие 8.3)							
"8. Требования к расширениям конфигураций, разработанным в среде ""1С:Предприятие 8.3"""							
"8.5. Все добавленные объекты (методы и объекты, отчеты, обработки и подсистемы, а также обработчики событий) расширения"							
"8.5. Все добавленные объекты (методы и объекты, отчеты, обработки и подсистемы, а также обработчики событий) расширения"							
Справочники.Номенклатура.ФормаЭлемента							
"Процедура (функция) в модуле объекта расширения не имеет префикса, соответствующего префиксу самого расширения (1311)"					"Процедура ПолучениеОтветаChatGPT(Результат, ДополнительныеПараметры) Экспорт"	"Модуль, стр. 52"	400 000 000 002
"Процедура (функция) в модуле объекта расширения не имеет префикса, соответствующего префиксу самого расширения (1311)"					Процедура ЗаполнитьДополнительныеСвойстваНаФорме(Соответствие)	"Модуль, стр. 89"	400 000 000 003
"8.6. Если расширяемые методы содержат какие-либо параметры, то все расширяющие методы обязаны иметь в точности такое же описание"							
"8.6. Если расширяемые методы содержат какие-либо параметры, то все расширяющие методы обязаны иметь в точности такое же описание"							
Общие.ОбщиеМодули.УправлениеСвойствами							
Описание расширяющего метода в модуле объекта расширения отличается от расширяемого метода в модуле объекта основной конфигурации (1314)					"Процедура GPT_ПриСозданииНаСервере(Форма, ДополнительныеПараметры)"	"Модуль, стр. 3"	400 000 000 004
